# soil moisture = soil volumetric water content (vwc) measured in m^3/m^3. Measurements taken at 3 predetermined points (random though) in each garden plot.,,,,,,
date,survey.time,block,treatment,moisture.vwc,temp.C,electrical.conductivity
"before July 7, 2013",1135_1230,7,E,0.035,28.8,0
"before July 7, 2013",1135_1230,7,E,0.053,29.7,0
"before July 7, 2013",1135_1230,7,E,0.038,30.6,0
"before July 7, 2013",1135_1230,7,U,0.17,30.7,0.03
"before July 7, 2013",1135_1230,7,U,0.085,31,0
"before July 7, 2013",1135_1230,7,U,0.126,32.2,0.13
"before July 7, 2013",1135_1230,8,E,0.054,30.2,0
"before July 7, 2013",1135_1230,8,E,0.053,30.6,0
"before July 7, 2013",1135_1230,8,E,0.092,31.8,0
"before July 7, 2013",1135_1230,8,U,0.168,32.6,0.12
"before July 7, 2013",1135_1230,8,U,0.145,33.3,0.04
"before July 7, 2013",1135_1230,8,U,0.147,33.6,0.04
"before July 7, 2013",1135_1230,9,E,0.056,28.6,0
"before July 7, 2013",1135_1230,9,E,0.058,29.7,0
"before July 7, 2013",1135_1230,9,E,0.047,30.7,0
"before July 7, 2013",1135_1230,9,U,0.204,31.2,0.39
"before July 7, 2013",1135_1230,9,U,0.21,31.2,0.28
"before July 7, 2013",1135_1230,9,U,0.214,31.3,0.11
"before July 7, 2013",1135_1230,10,U,0.148,25.8,0.1
"before July 7, 2013",1135_1230,10,U,0.206,26.8,0.34
"before July 7, 2013",1135_1230,10,U,0.054,27.8,0
"before July 7, 2013",1135_1230,10,E,0.049,28.5,0
"before July 7, 2013",1135_1230,10,E,0.058,29.7,0
"before July 7, 2013",1135_1230,10,E,0.066,30.8,0
"before July 7, 2013",1135_1230,6,U,0.047,29.9,0
"before July 7, 2013",1135_1230,6,U,0.036,30.7,0
"before July 7, 2013",1135_1230,6,U,0.055,31.6,0
"before July 7, 2013",1135_1230,6,E,0.063,31.1,0
"before July 7, 2013",1135_1230,6,E,0.057,31.3,0
"before July 7, 2013",1135_1230,6,E,0.048,31.8,0
"before July 7, 2013",1135_1230,5,E,0.079,24.2,0
"before July 7, 2013",1135_1230,5,E,0.063,25.2,0.01
"before July 7, 2013",1135_1230,5,E,0.073,26,0.01
"before July 7, 2013",1135_1230,5,U,0.135,27.5,0.06
"before July 7, 2013",1135_1230,5,U,0.115,29,0.03
"before July 7, 2013",1135_1230,5,U,0.156,30.2,0.16
"before July 7, 2013",1135_1230,3,U,0.074,29.2,0
"before July 7, 2013",1135_1230,3,U,0.065,29.9,0
"before July 7, 2013",1135_1230,3,U,0.044,30.8,0
"before July 7, 2013",1135_1230,3,E,0.07,31.1,0.02
"before July 7, 2013",1135_1230,3,E,0.074,31.4,0.02
"before July 7, 2013",1135_1230,3,E,0.067,31.3,0.01
"before July 7, 2013",1135_1230,2,E,0.064,27.9,0
"before July 7, 2013",1135_1230,2,E,0.015,31.4,0
"before July 7, 2013",1135_1230,2,E,0.118,32.5,0.04
"before July 7, 2013",1135_1230,2,U,0.054,31.3,0
"before July 7, 2013",1135_1230,2,U,0.058,31.7,0
"before July 7, 2013",1135_1230,2,U,0.053,32.7,0
"before July 7, 2013",1135_1230,1,E,0.043,30.7,0
"before July 7, 2013",1135_1230,1,E,0.095,31.5,0.05
"before July 7, 2013",1135_1230,1,E,0.119,31.2,0.09
"before July 7, 2013",1135_1230,1,U,0.071,30.8,0
"before July 7, 2013",1135_1230,1,U,0.076,31.2,0.03
"before July 7, 2013",1135_1230,1,U,0.064,31,0
"before July 7, 2013",1135_1230,4,E,0.059,30.6,0.01
"before July 7, 2013",1135_1230,4,E,0.116,31.3,0.02
"before July 7, 2013",1135_1230,4,E,0.041,30.5,0
"before July 7, 2013",1135_1230,4,U,0.055,29,0
"before July 7, 2013",1135_1230,4,U,0.042,29.4,0
"before July 7, 2013",1135_1230,4,U,0.053,29.9,0
